country;name
AE;Ras Al Khaymah
AE;Neutral Zone
AE;Neutral Zone
AF;Hirat
AF;Bamyan
AF;Jawzjan
AF;Ghor
AF;Sari Pul
AF;Hilmand
AF;Nimroz
AF;Uruzgan
AF;Uruzgan
AF;Zabul
AF;Khost
AF;Nuristan
AF;Kunar
AF;Parwan
AF;Logar
AF;Parwan
AF;Wardak
AF;Paktya
AI;
AI;The Quarter
AI;The Valley
AI;West End
AO;Lunda Norte
AO;Lunda Sul
AO;Cuanza Norte
AO;Cuanza Sul
AO;Cuando Cubango
AQ;Antarctica
AQ;
AS;Manu's
AS;Rose Atoll
AS;Swain's Island
AU;Macquarie Island
AU;Norfolk Island
AZ;Ağstafa
AZ;Daşkəsən
AZ;Gədəbəy
AZ;Gəncə
AZ;Xanlar
AZ;Goranboy
AZ;Kəlbəcər
AZ;Mingəçevir
AZ;Qazax
AZ;Samux
AZ;Bakı
AZ;Ağdam
AZ;Ağdaş
AZ;Ağsu
AZ;Hajigabul
AZ;Beyləqan
AZ;Cəbrayıl
AZ;Dəvəçi
AZ;İsmayıllı
AZ;Kürdəmir
AZ;Lankaran
AZ;Qobustan
AZ;Şamaxı
AZ;Sumqayıt
AZ;Xizı
AZ;Yardımlı
AZ;Zərdab
AZ;Ağcabədi
AZ;Balakən
AZ;Qəbələ
AZ;Oğuz
AZ;Qax
AZ;Şəki
AZ;Quba
AZ;Qusar
AZ;Zaqatala
AZ;Qubadli
AZ;Tərtər
AZ;Xocalı
AZ;Sədərək
AZ;Şərur
AZ;Naxçıvan
AZ;Şahbuz
AZ;Stepanakert
AZ;Lankaran
AZ;Şəki
AZ;Şuşa
BA;West Bosnia
BA;Una-Sana
BA;Central Bosnia
BA;West Herzegovina
BA;Herzegovina-Neretva
BA;Tuzla
BA;Zenica-Doboj
BA;Sarajevo
BA;Bosnian Podrinje
BA;Posavina
BA;Doboj
BA;Banja Luka
BA;Brčko Distrikt
BA;Bijeljina
BA;Vlasenica
BA;Sarajevo-romanija
BA;Foča
BA;Trebinje
BF;Mou Houn
BF;Bazéga
BF;Komoé
BF;Komondjari
BG;Kardzhali
BG;Targovishte
BH;Al Wusţá
BH;Al Muḩarraq
BJ;Kouffo
BJ;Atakora
BM;City of Hamilton
BM;City of Saint George
BM;Smith's
BS;Crooked Island and Long Cay
BW;South-East
BW;Selebi-Phikwe
BW;Sowa
BY;City of Minsk
BZ;
CA;
CA;Québec
CD;Orientale
CD;Bandundu
CD;Kasaï-Occidental
CD;Bas-Congo
CD;Kasaï-Oriental
CD;Katanga
CG;Pointe Noire
CH;Zürich
CI;Bafing
CI;Dix-Huit Montagnes
CI;Worodougou
CI;Marahoué
CI;Fromager
CI;Haut-Sassandra
CI;Sud-Bandama
CI;Agnéby
CI;N'zi-Comoé
CI;Moyen-Cavally
CI;Moyen-Comoe
CI;Sud-Comoé
CK;Atiu
CK;Aitutaki
CK;Mangaia
CK;Rarotonga
CK;Mitiaro
CK;Mauke
CK;Palmerston
CK;Pukapuka
CK;Rakahanga
CK;Manihiki
CK;Penrhyn
CL;Aisén del General Carlos Ibáñez del Campo
CL;Arica y Parinacota
CL;La Araucanía
CN;Paracel Islands
CO;
CO;Bogota
CU;
CU;Ciudad de la Habana
CZ;Prague
DE;Baden-Württemberg
DJ;
DJ;Ali Sabieh
DK;Midtjylland
DK;Syddanmark
DK;Nordjylland
DK;Hovedstaden
DO;Hermanas
EC;Zamora Chinchipe
EC;Bolivar
EC;Los Rios
EC;Manabi
EC;Morona Santiago
EC;Sucumbios
EE;
EG;
EG;Al Gharbiyah
EG;Al Isma`iliyah
EG;Al Minufiyah
EG;Al Qahirah
EG;Al Qalyubiyah
EG;Ash Sharqiyah
EG;Ad Daqahliyah
EG;Bur Sa`id
EG;Dumyat
EG;Matruh
EG;Al Fayyum
EG;Al Iskandariyah
EG;Al Jizah
EG;Al Minya
EG;Bani Suwayf
EG;Aswan
EG;Asyut
EG;Al Wadi at Jadid
EG;Qina
EG;Suhaj
EG;Janub Sina'
EG;Shamal Sina'
EG;Luxor
EH;Western Sahara
ER;
ES;
ES;Gerona
ES;Gipuzkoa
ES;La Coruña
ES;Lérida
ES;Orense
ET;Oromiya
FI;Northern Savonia
FI;Northern Ostrobothnia
FI;Southern Ostrobothnia
FI;Pirkanmaa
FI;Southern Savonia
FI;Finland Proper
FJ;
FR;Martinique
FR;Guyane française
FR;La Réunion
FR;Mayotte
FR;Guadeloupe
FR;Haute-Rhin
FR;Meurhe-et-Moselle
FR;Seien-et-Marne
GB;North Ayshire
GB;Barking and Dagenham
GB;Bexley
GB;Brent
GB;Bromley
GB;Camden
GB;Croydon
GB;Ealing
GB;Enfield
GB;Greenwich
GB;Hammersmith and Fulham
GB;Hounslow
GB;Islington
GB;Kensington and Chelsea
GB;Merton
GB;Redbridge
GB;Richmond upon Thames
GB;Sutton
GB;Tower Hamlets
GB;Waltham Forest
GB;Wandsworth
GB;Westminster
GB;Derry
GB;Omagh
GB;Armagh
GB;Newry and Mourne
GB;Banbridge
GB;Craigavon
GB;Dungannon
GB;Lisburn
GB;Cookstown
GB;Antrim
GB;Magherafelt
GB;Ballymena
GB;Larne
GB;Carrickfergus
GB;Newtownabbey
GB;North Down
GB;Down
GB;Coleraine
GB;Ballymoney
GB;Limavady
GB;Castlereagh
GB;Strabane
GB;Fermanagh
GB;Ards
GB;Havering
GB;Orkney
GB;Hillingdon
GB;Kingston upon Thames
GB;Hackney
GB;Haringey
GB;Harrow
GB;Lambeth
GB;Lewisham
GB;Newham
GB;Southwark
GB;Moyle
GB;City
GB;Merseyside
GB;Royal Borough of Windsor and Maidenhead
GB;Barnet
GD;Carriacou and Petite Martinique
GE;Racha-Lechkhumi-Kvemo Svaneti
GG;
GH;Brong Ahafo
